ann1
[  0.    0.9   1.  100. ]
[1.49011612e-08 9.00000000e-01 1.00000000e+00 1.00000000e+02]
[5.22883491e-03 1.00089062e+00 1.15516270e+00 7.53822820e+01]
[5.22884981e-03 1.00089062e+00 1.15516270e+00 7.53822820e+01]
[5.22883491e-03 1.00089063e+00 1.15516270e+00 7.53822820e+01]
[5.22883491e-03 1.00089062e+00 1.15516272e+00 7.53822820e+01]
[5.22883491e-03 1.00089062e+00 1.15516270e+00 7.53822820e+01]
[5.22885316e-03 1.00089037e+00 1.15520076e+00 7.53915862e+01]
[5.22886806e-03 1.00089037e+00 1.15520076e+00 7.53915862e+01]
[5.22885316e-03 1.00089038e+00 1.15520076e+00 7.53915862e+01]
[5.22885316e-03 1.00089037e+00 1.15520077e+00 7.53915862e+01]
[5.22885316e-03 1.00089037e+00 1.15520076e+00 7.53915862e+01]
[5.22883678e-03 1.00089059e+00 1.15516659e+00 7.53832320e+01]
[5.22885168e-03 1.00089059e+00 1.15516659e+00 7.53832320e+01]
[5.22883678e-03 1.00089061e+00 1.15516659e+00 7.53832320e+01]
[5.22883678e-03 1.00089059e+00 1.15516661e+00 7.53832320e+01]
[5.22883678e-03 1.00089059e+00 1.15516659e+00 7.53832320e+01]
[5.22883506e-03 1.00089061e+00 1.15516301e+00 7.53823572e+01]
[5.22884996e-03 1.00089061e+00 1.15516301e+00 7.53823572e+01]
[5.22883506e-03 1.00089063e+00 1.15516301e+00 7.53823572e+01]
[5.22883506e-03 1.00089061e+00 1.15516303e+00 7.53823572e+01]
[5.22883506e-03 1.00089061e+00 1.15516301e+00 7.53823572e+01]
[5.22883493e-03 1.00089062e+00 1.15516274e+00 7.53822894e+01]
[5.22884983e-03 1.00089062e+00 1.15516274e+00 7.53822894e+01]
[5.22883493e-03 1.00089063e+00 1.15516274e+00 7.53822894e+01]
[5.22883493e-03 1.00089062e+00 1.15516275e+00 7.53822894e+01]
[5.22883493e-03 1.00089062e+00 1.15516274e+00 7.53822895e+01]
[5.22883491e-03 1.00089062e+00 1.15516271e+00 7.53822826e+01]
[5.22884982e-03 1.00089062e+00 1.15516271e+00 7.53822826e+01]
