,mu,xaxis,yaxis,colors
362,0.001,-5.501,16,#9DC3E6
9,-1.0,-5.5,15,#9D6C97
330,-0.002,-5.498,15,#9DC3E6
683,0.9,-5.4,18,#9DD9C5
298,-0.102,-5.398,16,#9DC3E6
651,0.806,-5.306,20,#9DD9C5
266,-0.2,-5.3,19,#9DC3E6
619,0.701,-5.201,21,#9DD9C5
234,-0.3,-5.2,19,#9DC3E6
587,0.604,-5.104,23,#9DD9C5
202,-0.4,-5.1,22,#9DC3E6
555,0.504,-5.004,24,#9DD9C5
170,-0.501,-4.999,23,#9DC3E6
523,0.403,-4.9030000000000005,24,#9DD9C5
138,-0.6,-4.9,24,#9DC3E6
491,0.301,-4.801,26,#9DD9C5
106,-0.7,-4.8,24,#9DC3E6
459,0.208,-4.708,26,#9DD9C5
74,-0.8,-4.7,27,#9DC3E6
427,0.103,-4.603,28,#9DD9C5
42,-0.903,-4.5969999999999995,29,#9DC3E6
716,1.007,-4.507,34,#9D6C97
395,0.003,-4.503,34,#9DD9C5
363,0.001,-4.501,31,#9DD9C5
10,-1.0,-4.5,27,#9DC3E6
331,-0.002,-4.498,30,#9DD9C5
684,0.9,-4.4,35,#9D6C97
299,-0.102,-4.398,32,#9DD9C5
652,0.806,-4.306,37,#9D6C97
267,-0.2,-4.3,34,#9DD9C5
620,0.701,-4.201,38,#9D6C97
235,-0.3,-4.2,38,#9DD9C5
588,0.604,-4.104,42,#9D6C97
203,-0.4,-4.1,41,#9DD9C5
556,0.504,-4.004,45,#9D6C97
171,-0.501,-3.999,44,#9DD9C5
524,0.403,-3.903,47,#9D6C97
139,-0.6,-3.9,48,#9DD9C5
492,0.301,-3.801,51,#9D6C97
107,-0.7,-3.8,49,#9DD9C5
460,0.208,-3.708,55,#9D6C97
75,-0.8,-3.7,51,#9DD9C5
428,0.103,-3.603,61,#9D6C97
43,-0.903,-3.597,57,#9DD9C5
717,1.007,-3.5069999999999997,60,#9DC3E6
396,0.003,-3.503,63,#9D6C97
364,0.001,-3.501,64,#9D6C97
11,-1.0,-3.5,60,#9DD9C5
332,-0.002,-3.498,65,#9D6C97
685,0.9,-3.4,67,#9DC3E6
300,-0.102,-3.398,68,#9D6C97
653,0.806,-3.306,72,#9DC3E6
