,xaxis,yaxis
405,8.828975656,9.424242424
406,8.887569406,9.303030303
407,8.948098788,9.257142857
408,9.008552318,9.303030303
409,9.068508037,9.033333333
410,9.130660275,8.378378378
411,9.192792398,8.757575758
412,9.252236761,7.823529412
413,9.311755467,8.363636364
414,9.372840032,8
415,9.434269671,8.242424242
416,9.492863421,8.212121212
417,9.551457171,7.575757576
418,9.610050921,7.696969697
419,9.668644671,7.787878788
420,9.727238421,7.424242424
421,9.787777788,7.628571429
422,9.84889576,6.882352941
423,9.908346376,6.96969697
424,9.970504025,6.756756757
425,10.03263615,7
426,10.09199651,6.838709677
427,10.15160491,6.666666667
428,10.2129154,6.515151515
429,10.27369454,6.878787879
430,10.33228829,6.818181818
431,10.3917494,6.470588235
432,10.45125136,6.424242424
433,10.50984511,6.303030303
434,10.56843886,6.181818182
435,10.62893236,6.4
436,10.6891775,6.212121212
437,10.74777125,6.090909091
438,10.80997418,6.027027027
439,10.87206102,6.303030303
440,10.9315177,6.147058824
441,10.99102409,5.939393939
442,11.05214356,6.222222222
443,11.11258534,5.774193548
444,11.17163154,6.266666667
445,11.23119272,6.483870968
446,11.29077216,6.033333333
447,11.34936591,6.333333333
448,11.40874295,6.272727273
449,11.46921015,5.628571429
450,11.52948158,6.03030303
451,11.58807533,5.787878788
452,11.6502285,5.513513514
453,11.71236511,6.151515152
454,11.77180825,4.823529412
455,11.83132817,5.303030303
456,11.89164028,4.857142857
457,11.95206681,4.757575758
458,12.01066056,5.060606061
459,12.07101775,5.257142857
460,12.1313992,5
461,12.19025815,5.066666667
462,12.2488519,4.833333333
463,12.30947816,4.9375
464,12.36994565,4.733333333
465,12.4285394,5.066666667
466,12.49007189,5.03030303
467,12.55205109,4.967741935
468,12.61059579,4.735294118
469,12.67008371,4.666666667
470,12.730458,4.542857143
471,12.79167762,4.941176471
472,12.85119167,4.333333333
473,12.91150958,4.485714286
474,12.9719303,4.636363636
475,13.03052405,4.212121212
476,13.0891178,4.303030303
477,13.14954572,4.428571429
478,13.20946634,4.34375
479,13.269155,4.433333333
480,13.32972854,4.09375
481,13.39024875,4.666666667
482,13.44983228,4.806451613
483,13.50938938,4.266666667
484,13.56996422,4.40625
485,13.63142708,3.935483871
486,13.69103,4.066666667
487,13.7515099,4.0625
488,13.81212375,3.933333333
489,13.8707175,3.766666667
490,13.92931125,4.1
491,13.98988927,4.09375
492,14.050405,3.8
493,14.10899875,3.6
494,14.16957229,3.34375
495,14.2300925,3.333333333
496,14.28944528,3.896551724
497,14.35005346,3.444444444
498,14.40975061,3.285714286
499,14.47048889,3.678571429
500,14.53017499,3.148148148
501,14.59089819,3.482758621
502,14.65170277,3.111111111
503,14.71029652,3.074074074
504,14.76889027,2.814814815
505,14.82969181,3.413793103
506,14.89041804,3
507,14.95013453,3.071428571
508,15.01082597,3.607142857
509,15.07053957,3.592592593
510,15.1302076,2.892857143
511,15.18989721,3
512,15.24959436,2.571428571
513,15.31033264,3
514,15.36986923,3.125
515,15.43084964,3.423076923
516,15.48217391,3.25
