xaxis,yaxis,colors
13.898,5.5,#9DD9C5
13.9985,4.5,#9DD9C5
14.0985,5.0,#9DD9C5
14.1995,6.5,#9DD9C5
14.296,4.5,#9DD9C5
14.4,5.5,#9DD9C5
14.501000000000001,5.0,#9D6C97
14.600999999999999,3.5,#9D6C97
14.697,4.5,#9D6C97
14.7995,4.5,#9D6C97
14.898,4.5,#9D6C97
14.9985,5.0,#9D6C97
15.0985,3.5,#9D6C97
15.1995,4.0,#9D6C97
15.296,3.5,#9D6C97
15.4,4.0,#9D6C97
15.501000000000001,3.0,#9DC3E6
15.602,1,#9DC3E6
15.7,2,#9DC3E6
15.8,1,#9DC3E6
15.9,2,#9DC3E6
16.001,3,#9DC3E6
16.1,2,#9DC3E6
16.2,2,#9DC3E6
16.3,4,#9DC3E6
16.403,2,#9DC3E6
16.5,4,#9DC3E6
