plot,baser,onaxis,offaxis,offaxisvalue,file,roughness,points,angle,slice1guess,slice2guess,normal_slice,slice1,slice2,sliceonedeg,displacement,location
x,,x,,-0.15,Ann5_onoff_20deg_b_-0.150.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.1,Ann5_onoff_20deg_b_-0.100.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.05,Ann5_onoff_20deg_b_-0.050.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0,Ann5_onoff_20deg_b_0.000.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.05,Ann5_onoff_20deg_b_0.050.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.1,Ann5_onoff_20deg_b_0.100.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.15,Ann5_onoff_20deg_b_0.150.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.15,Ann7_onoff_20deg_b_-0.150.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.1,Ann7_onoff_20deg_b_-0.100.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.05,Ann7_onoff_20deg_b_-0.050.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0,Ann7_onoff_20deg_b_0.000.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.05,Ann7_onoff_20deg_b_0.050.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.1,Ann7_onoff_20deg_b_0.100.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.15,Ann7_onoff_20deg_b_0.150.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.15,Ann10_onoff_20deg_b_-0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.1,Ann10_onoff_20deg_b_-0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.05,Ann10_onoff_20deg_b_-0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0,Ann10_onoff_20deg_b_0.000.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.05,Ann10_onoff_20deg_b_0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.1,Ann10_onoff_20deg_b_0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.15,Ann10_onoff_20deg_b_0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.15,PT_3um_-0.150.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.1,PT_3um_-0.100.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.05,PT_3um_-0.050.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0,PT_3um_0.000.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.05,PT_3um_0.050.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.1,PT_3um_0.100.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.15,PT_3um_0.150.csv,,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.15,Rockley_rough_-0.150.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.1,Rockley_rough_-0.100.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,-0.05,Rockley_rough_-0.050.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0,Rockley_rough_0.000.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.05,Rockley_rough_0.050.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.1,Rockley_rough_0.100.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
x,,x,,0.15,Rockley_rough_0.150.csv,1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.15,PT_ref_-0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.1,PT_ref_-0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.05,PT_ref_-0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0,PT_ref_0.000.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.05,PT_ref_0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.1,PT_ref_0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.15,PT_ref_0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.15,PT_ref_b_-0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.1,PT_ref_b_-0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.05,PT_ref_b_-0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0,PT_ref_b_0.000.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.05,PT_ref_b_0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.1,PT_ref_b_0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.15,PT_ref_b_0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.15,Rockley_ref_-0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.1,Rockley_ref_-0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.05,Rockley_ref_-0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0,Rockley_ref_0.000.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.05,Rockley_ref_0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.1,Rockley_ref_0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.15,Rockley_ref_0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.15,Rockley_ref_b_-0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.1,Rockley_ref_b_-0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,-0.05,Rockley_ref_b_-0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0,Rockley_ref_b_0.000.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.05,Rockley_ref_b_0.050.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.1,Rockley_ref_b_0.100.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
,x,x,,0.15,Rockley_ref_b_0.150.csv,0.1,4096,20,1000,3000,0,0,0,0,0,/Users/carlosreyes//Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/unknown/
