angle,x0,difference,slice,amplitude,rmse
-5.50421875,-5.281486839348514,0.22273191065148534,137.0,0.9924197757753274,138.4377088544011
-5.4846875,-5.262135938369233,0.22255156163076695,138.0,0.992120346637778,138.26383310604635
-5.46515625,-5.243943014512477,0.22121323548752247,139.0,0.9923765941101169,135.52827422314323
-5.445625,-5.2258763071977,0.21974869280230003,140.0,0.9919640153087219,131.98820366429794
-5.42609375,-5.207117962961391,0.21897578703860887,141.0,0.9923820382532087,129.0665586272139
-5.4065625,-5.187950249115882,0.2186122508841173,142.0,0.9921006336541607,122.41291742499311
-5.38703125,-5.1695490832032,0.21748216679679988,143.0,0.9920800231392917,118.14539228128241
-5.3675,-5.152187202523273,0.21531279747672638,144.0,0.9924689430376056,116.11026067538126
-5.34796875,-5.130877882235751,0.21709086776424869,145.0,0.9922455169091899,111.50987381548272
-5.3284375,-5.111826204956742,0.2166112950432577,146.0,0.9924993763383573,110.26328241272621
-5.30890625,-5.090746046324492,0.2181602036755077,147.0,0.9922135129996305,104.64928417667961
-5.289375,-5.072600013740666,0.21677498625933378,148.0,0.9926939068390346,102.91629609265367
-5.26984375,-5.0540969520160886,0.21574679798391116,149.0,0.9929512921140812,99.92056931365387
-5.2503125,-5.033215889800769,0.21709661019923043,150.0,0.992890621825679,96.06897696209853
-5.23078125,-5.015727506662354,0.21505374333764582,151.0,0.9930607920775862,95.13978373917757
-5.21125,-4.995572845079805,0.21567715492019435,152.0,0.9933805825686763,92.73860972813348
-5.19171875,-4.978158356638274,0.2135603933617256,153.0,0.9931635726439692,92.6095558956785
-5.1721875,-4.959776657118769,0.2124108428812308,154.0,0.9930364721725826,90.99652958696417
-5.15265625,-4.942635266039192,0.21002098396080804,155.0,0.9924735454904648,90.3234963861535
-5.133125,-4.925880831120469,0.207244168879531,156.0,0.9925639144357532,92.65787868415917
-5.11359375,-4.90826441885178,0.20532933114821983,157.0,0.9920438026305076,91.6075415411831
-5.0940625,-4.889896508460835,0.20416599153916515,158.0,0.9922958481005693,93.8029883828366
-5.07453125,-4.870622353601529,0.20390889639847032,159.0,0.9920198798240264,90.94117825097682
-5.055,-4.852361573310513,0.20263842668948673,160.0,0.9921416318052648,90.75259866231004
-5.03546875,-4.830566167361767,0.20490258263823247,161.0,0.9920166890156967,92.03407238735754
-5.0159375,-4.81107442361515,0.20486307638485002,162.0,0.991104361147564,94.69789553014608
-4.99640625,-4.791194762805939,0.20521148719406046,163.0,0.9915138045304901,100.81347246517902
-4.976875,-4.774015155534615,0.20285984446538485,164.0,0.9906909999399923,102.87085070292264
-4.95734375,-4.755419956760467,0.20192379323953258,165.0,0.9912057485449042,106.4289813324561
-4.9378125,-4.735748200964594,0.20206429903540535,166.0,0.9906652369979946,106.30140412484268
-4.91828125,-4.71691364773642,0.20136760226357975,167.0,0.9906699781739574,107.84463443485343
-4.89875,-4.699283527458676,0.19946647254132355,168.0,0.9906285296510153,111.00814228809999
-4.87921875,-4.681279990955454,0.19793875904454605,169.0,0.9906395927542272,110.8833342382148
-4.8596875,-4.662724450872607,0.19696304912739304,170.0,0.9903432303830643,112.99067227995178
-4.84015625,-4.643836347080447,0.19631990291955237,171.0,0.9903640108130416,112.35988790199498
-4.820625,-4.6246147346474205,0.19601026535257926,172.0,0.9900898673309355,112.6262413136764
-4.80109375,-4.6073489850587706,0.19374476494122916,173.0,0.990119341584108,112.2392798603465
-4.7815625,-4.588132173474857,0.19343032652514314,174.0,0.99019192119016,110.8378859730999
-4.76203125,-4.570800425133796,0.1912308248662038,175.0,0.9902412462814432,111.6819038703172
-4.7425,-4.549557646563681,0.19294235343631883,176.0,0.9904545673696904,109.84764109869725
